Hospital,Hospital type,Control type,HAC reduction adjustment amount,Total Liabilities,Total discharges,IPPS Payment amount (unadjusted),Total Inpatient Days,Number of Interns & Residents,Urban (1) and Rural (2) Indicator,Fiscal Year Begin Date,BALANCE SHEET: Total Assets (G_C1THRU4_36),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Net Revenue from Medicaid,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),NUMBER OF BEDS: Adults & Pediatrics,Cost To Charge Ratio,Total Salaries,Total Costs,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Subtotal,BALANCE SHEET: Inventory (G_C1THRU4_7),"Donations, Land Improvements",REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Total cost of charity care,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Bad Debt expense,BED DAYS: Total Hospital,NUMBER OF BEDS: Total Hospital,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),State,HVBP payment adjustment amount,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),Total Charges,IPPS Interim payment,Medicaid charges,FTE Employees on Payroll,Cost of Uncompensated Care,Total Days Title XVIII,Fiscal Year End Date,NUMBER OF BEDS: ICU,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
A.G. HOLLEY STATE HOSPITAL (102000),General Long Term,Governmental-State,,11600664.0,27.0,,12659.0,160.0,1.0,2010-07-01 00:00:00,11600664.0,,,,,100.0,,7404989.0,11770055.0,5554148.0,7441.0,,,8801.0,,,,11600664.0,,36500.0,100.0,,322553.0,-5787979.0,,FL,,7983501.0,10842458.0,,,,,443.0,2011-06-30,,2010,2010,0.0,,0.0,-1.042100246518458,-6046516.0,-1.0886487000346408,0.6881934516851794,-0.4989351471605418,,0.0,inf,1.0,0.0,,0.0,0.47877845612975256,inf,govt
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,100073768.0,6292.0,28794651.0,31985.0,642.52,1.0,2010-09-01 00:00:00,126926424.0,35450858.0,26415886.0,7982090.0,,144.0,0.127401,35138664.0,89569526.0,129751663.0,7937067.0,3265712.0,,7975815.0,,1837192.0,460621.0,95263431.0,13765947.0,65700.0,180.0,,5205579.0,9560432.0,-186118.0,TX,,22917870.0,703052492.0,26279358.0,79336944.0,,3552850.0,14665.0,2011-08-31,36.0,2010,2010,26852656.0,10107606.002543999,0.0,0.0736825392365106,8768480.0,0.06757894116547855,0.24057363627812228,0.37765087423735555,0.20145754565568819,0.0,3.726773545231429,0.7884391984446044,0.21156080155539558,,26852656.0,1.022258871801194,4.9118800330982655,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,475345000.0,39847.0,115020504.0,163887.0,3773.93,1.0,2010-07-01 00:00:00,701815000.0,198828029.0,121648560.0,12118426.0,14969532.0,488.0,0.1438,268286490.0,487790918.0,678113450.0,22375319.0,3071000.0,,22321459.0,,2004944.0,3656000.0,77976000.0,20860479.0,209537.0,574.0,,53184959.0,35110908.0,48772732.0,PA,,159862000.0,3392137940.0,105485385.0,115015827.0,159.75,4975462.0,50250.0,2011-06-30,23.0,2010,2010,226470000.0,16539275.922600001,48772732.0,0.05177733607849837,-8728744.0,-0.012872099793920915,2.0501436339386476,3.0723923130193906,1.9638734995383196,0.6254838924797373,2.0989314257959113,0.6773081225109181,0.3226918774890819,2.9697798835661664,226470000.0,0.9662282082885091,5.574364793138529,non-profit
ACADIA HOSPITAL (204006),Psychiatric,Voluntary Nonprofit-Other,,33442554.0,1710.0,,21568.0,461.6,1.0,2010-09-26 00:00:00,41514896.0,,8892407.0,,445604.0,68.0,0.502072,25037674.0,36936416.0,47568925.0,1096530.0,210772.0,,1096530.0,7336996.0,,1015820.0,9229007.0,,26250.0,68.0,,1075627.0,2547713.0,4523694.0,ME,,15731484.0,73567996.0,,,,-57915.0,4347.0,2011-09-24,,2010,2010,8072342.0,,11860690.0,0.05355834717728013,-94703.0,-0.00199085852791502,1.7045695165254506,1.729743405764022,1.5716633436294933,0.49016042570993823,4.142856434972651,0.8055555287914006,0.19444447120859945,2.201335715119254,8072342.0,1.1458278734457146,5.34938684205525,non-profit
ACADIA ST LANDRY HOSPITAL (191319),Critical Access Hospitals,Governmental-Hospital District,,881110.0,121.0,,3652.0,93.22,2.0,2010-07-01 00:00:00,7502943.0,3505675.0,1285776.0,1076326.0,,25.0,0.726471,3525018.0,10860056.0,11820542.0,1850802.0,222720.0,,1821056.0,,,53004.0,881110.0,981449.0,9125.0,25.0,,117023.0,256442.0,1304846.0,LA,,3487834.0,14949062.0,,1235050.0,,233642.0,3467.0,2011-06-30,,2010,2010,6621833.0,897228.00855,1304846.0,0.02169460588186227,-645956.0,-0.05464690197792961,3.9584546764876123,3.241082271226067,3.645526665229086,1.48091157744209,0.13306134419276355,0.11743525174055035,0.8825647482594496,,6621833.0,1.5754540584941137,9.193313609835617,govt
ACUITY HOSPITAL OF SOUTH TEXAS (452040),General Long Term,Proprietary-Partnership,,11428621.0,383.0,,10429.0,107.27,1.0,2010-06-01 00:00:00,11496877.0,5923127.0,1447190.0,,471544.0,30.0,0.36271,5947529.0,13703605.0,14471634.0,10800.0,186140.0,,10800.0,,,365617.0,4316611.0,,10950.0,30.0,,1568449.0,595665.0,284371.0,TX,,1235052.0,37781116.0,,,,-135778.0,8176.0,2011-05-31,,2010,2010,68256.0,,284371.0,0.04116086683784292,566455.0,0.03914243547065936,0.28611612211524273,0.5391326668073635,0.1582943193167047,0.06587830128774634,167.43760255508673,0.9940630833921247,0.005936916607875339,4.527475696859678,68256.0,1.2587447878236846,9.999816195523739,for-profit
ADAIR COUNTY HEALTH CENTER (370178),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,1005085.0,1822.0,4564505.0,6330.0,165.97,2.0,2010-07-01 00:00:00,12562806.0,4774062.0,10826866.0,,5028.0,34.0,0.392376,10124879.0,10271163.0,16919279.0,439417.0,608255.0,,462491.0,,,80073.0,945278.0,,12410.0,34.0,,501863.0,-211489.0,1116065.0,OK,,4183512.0,26176827.0,4150786.0,,,-62819.0,3683.0,2011-06-30,,2010,2010,11557721.0,,1116065.0,-0.012499882530455347,-291961.0,-0.017256113573161126,4.425694874946841,12.410573397455563,3.6975196714617287,1.180673833517759,0.08696221339829885,0.0800048173950947,0.9199951826049053,41.74661893396977,11557721.0,1.3467754735685642,1.562712515329921,non-profit
ADAIR COUNTY MEMORIAL HOSPITAL (161310),Critical Access Hospitals,Governmental-County,,11425367.0,141.0,,759.0,60.17,1.0,2010-07-01 00:00:00,18150253.0,,1569695.0,690244.0,401068.0,25.0,0.946931,3949524.0,8600505.0,8512665.0,1465212.0,200426.0,,1222129.0,1625806.0,48294.0,183615.0,2375241.0,251725.0,9125.0,25.0,,1058219.0,-104864.0,2094830.0,IA,,7198401.0,9082501.0,,794873.0,,286660.0,513.0,2011-06-30,,2010,2010,6724886.0,752689.884763,3720636.0,-0.012318586482611497,-1844455.0,-0.2166718648037953,3.030598158250047,1.604631277415639,2.868913091345257,0.8819441900842904,1.6989681312069826,0.629488029726087,0.37051197027391297,-1.9603558498808182,6724886.0,0.46901081764535185,5.423133156441219,govt
ADMIN DE SERVICIOS MEDICOS DE PR (400127),General Short Term (Acute Care Hospitals),Governmental-State,,323391854.0,1949.0,407865.0,13799.0,1284.5,1.0,2010-07-01 00:00:00,166113958.0,31145191.0,166974288.0,,,64.0,0.865038,28448053.0,79161528.0,47879018.0,124070.0,2270462.0,,127898.0,,,,115479435.0,,30660.0,84.0,,752526.0,-26249585.0,13867642.0,PR,,110508905.0,91512173.0,349622.0,,,,482.0,2011-06-30,20.0,2010,2010,-157277896.0,,13867642.0,-0.5482481908881256,-38928719.0,-0.813064273791079,0.956957444414237,1.3387002196538285,,0.12008754632372422,-2.056181206798443,1.9468072273613515,-0.9468072273613516,,-157277896.0,0.2882299511519676,0.2867448549922848,govt
ADVANCED CARE HOSPITAL OF MONTANA (272001),General Long Term,Proprietary-Corporation,,81134750.0,394.0,,10730.0,127.0,1.0,2010-09-01 00:00:00,82410669.0,,5198542.0,,,40.0,,7255980.0,16026010.0,16321590.0,,105076.0,,,,,24152.0,68934126.0,,14600.0,40.0,,1161631.0,1432092.0,350978.0,MT,,2810767.0,28952684.0,,,,,6225.0,2011-08-31,,2010,2010,1275919.0,,350978.0,0.087742186882528,1261642.0,0.07729896413278363,0.04077468103389024,0.1012794736818742,0.038900021739595274,0.005091498512652499,63.58926389527862,0.9845175507554732,0.015482449244526823,,1275919.0,0.19805190514834917,3.139647616581726,for-profit
