Hospital,Hospital type,Control type,REIMBURSEMENT SETTLEMENT: Subtotal,IPPS Interim payment,Urban (1) and Rural (2) Indicator,NUMBER OF BEDS: Adults & Pediatrics,Total Costs,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"ADJUSTED SALARIES, Subtotal Salaries",BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total cost of charity care,Number of Interns & Residents,Cost of Uncompensated Care,Cost To Charge Ratio,NUMBER OF BEDS: Total Hospital,HAC reduction adjustment amount,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,State,Medicaid charges,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total discharges,REIMBURSEMENT SETTLEMENT: Interim payments,FTE Employees on Payroll,Total Salaries,IPPS Payment amount (unadjusted),Fiscal Year End Date,Net Revenue from Medicaid,Fiscal Year Begin Date,NUMBER OF BEDS: ICU,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),BALANCE SHEET: Total Assets (G_C1THRU4_36),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),Total Bad Debt expense,Total Inpatient Days,HVBP payment adjustment amount,Total Liabilities,"Donations, Land Improvements",BED DAYS: Total Hospital,Total Days Title XVIII,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,2103895.0,,2.0,19.0,32951005.0,,,10447143.0,588896.0,169.01,3285492.0,0.528495,25.0,,242645.0,226493.0,,SC,7542689.0,8714516.0,-53365.0,677.0,2364841.0,,17516821.0,,2015-09-30,2406430.0,2014-10-01 00:00:00,6.0,37766295.0,32830762.0,1437409.0,4527857.0,671157.0,62348788.0,2571268.0,5249062.0,2822.0,,11222784.0,,9125.0,1509.0,2014,2015,21607978.0,3986273.423055,2571268.0,-0.0014130324406987766,-1474189.0,-0.03903451477037925,1.924644704989579,2.863395641690981,1.722826935567974,0.567877474929089,0.5193814988149285,0.34183745110759234,0.6581625488924077,-0.16238912460870755,21607978.0,1.1503325752841191,3.6149878488310154,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,3045749.0,5457593.0,2.0,38.0,35290660.0,5235990.0,14158692.0,6530565.0,1291660.0,313.25,3225528.0,0.316988,44.0,,358578.0,130672.0,,LA,17772796.0,15034888.0,4362423.0,1291.0,2984372.0,,19489170.0,4808970.0,2015-12-31,7135456.0,2015-01-01 00:00:00,6.0,33307982.0,32531154.0,1905599.0,3274565.0,923492.0,111331159.0,674913.0,6100762.0,6362.0,9956.0,5556750.0,,16060.0,3313.0,2015,2015,26974404.0,5633763.058448,5910903.0,0.13097229967279314,-6641132.0,-0.1993856007247752,4.591415348298171,3.532791989164973,4.19989158865376,0.20610768147830322,0.20600084435600505,0.17081318418645708,0.8291868158135429,-36.23984480225297,26974404.0,1.0238795094695996,5.100321641389375,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,46763709.0,178986801.0,1.0,517.0,770669016.0,,293189049.0,400087264.0,2200491.0,4984.56,5566771.0,0.279544,579.0,489637.0,1755110.0,,,MN,85495267.0,177169227.0,70447561.0,34754.0,45833652.0,43.48,480652697.0,195141515.0,2015-12-31,15346222.0,2015-01-01 00:00:00,62.0,1077180844.0,577489965.0,5371814.0,-318214077.0,20174181.0,2756881925.0,710360.0,11972531.0,161048.0,301785.0,-249795837.0,,211335.0,60599.0,2015,2015,577489965.0,23899688.918248,710360.0,0.06539993854550945,-94504816.0,-0.08773347254214632,inf,inf,inf,inf,0.0,0.0,1.0,,577489965.0,1.8652806269975617,2.692364743707513,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,9252878.0,17908310.0,2.0,144.0,92819150.0,,38076192.0,29404149.0,1557241.0,676.77,4420690.0,0.104815,180.0,,1664472.0,,,TX,89737880.0,27683504.0,7361961.0,5988.0,9345090.0,,46366125.0,20395767.0,2016-08-31,5597413.0,2015-09-01 00:00:00,36.0,128312752.0,125814946.0,3651347.0,64553104.0,3501297.0,885555489.0,-681172.0,25628220.0,27612.0,-116093.0,69646811.0,,65880.0,9699.0,2015,2015,56168135.0,9405875.8922,0.0,0.05737513135093541,6328461.0,0.04932059285892333,0.42884853375912024,0.5695482900403984,0.34882497671994206,0.0,1.2399701538959769,0.5535654802093226,0.44643451979067733,,56168135.0,1.019853014919229,4.363763494736746,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,36086420.0,107250681.0,1.0,464.0,509104384.0,,217475147.0,89725581.0,6506801.0,3470.54,10815561.0,0.19193,562.0,,7748637.0,8622067.0,,PA,273397656.0,279161851.0,35340383.0,26680.0,33427640.0,158.56,294798088.0,118563848.0,2016-06-30,41046531.0,2015-07-01 00:00:00,42.0,740943996.0,790009948.0,43198612.0,141632425.0,3435190.0,2652549733.0,176393316.0,21701194.0,128454.0,-77311.0,749692850.0,,199463.0,41221.0,2015,2015,40317098.0,52473212.11607999,176393316.0,0.04769642940733135,-4126001.0,-0.005568573363539341,1.971030652055841,2.128462320686806,1.8920669048771848,1.2454303172455037,18.59491102261378,0.9489663413706786,0.051033658629321466,4.531698837413349,40317098.0,0.9378919820893192,8.257890199674494,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,3007594.0,,2.0,25.0,34952914.0,6828177.0,,7962926.0,1488770.0,227.73,2191611.0,0.342088,25.0,,192918.0,2399822.0,,IL,15577345.0,42533207.0,9651368.0,1003.0,3584278.0,,13935755.0,,2015-09-30,2280338.0,2014-10-01 00:00:00,,47667083.0,108369179.0,4429411.0,8821443.0,503922.0,102175263.0,27840817.0,2041535.0,4665.0,,50711907.0,,9125.0,2189.0,2014,2015,57657272.0,5328822.79636,34668994.0,0.20247448328231035,5745416.0,0.12053215003737484,4.821570235164474,5.1522342773172145,4.74257635627187,3.156038870284601,0.8795405200579035,0.4679550723550282,0.5320449276449718,4.239825703739694,57657272.0,0.43985830140874277,5.986126582113158,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,11913560.0,38462911.0,1.0,201.0,203433122.0,223204.0,73755785.0,108769699.0,2671848.0,1102.6,5385533.0,0.181251,232.0,,593659.0,39528.0,,AZ,270394805.0,59290292.0,11397215.0,13097.0,11709771.0,,74015907.0,41096999.0,2016-03-31,32200559.0,2015-04-01 00:00:00,31.0,226066994.0,177245112.0,8282370.0,26179249.0,8910440.0,1122381668.0,138166.0,14839801.0,53556.0,-73627.0,26636952.0,,84912.0,12157.0,2015,2015,150608160.0,49009328.801055,361370.0,0.050415210103603184,8781264.0,0.03884363588255613,2.2647820034868076,4.595436637620888,1.9017425977345646,0.005277691502915152,0.1768626082411471,0.1502831401071303,0.8497168598928697,431.684729811779,150608160.0,1.2754483971326667,2.0784004743821165,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,5509977.0,22262243.0,1.0,133.0,142090556.0,74014026.0,57083032.0,71534180.0,5020296.0,892.44,8943512.0,0.192923,168.0,,389402.0,21678.0,,AZ,275750209.0,115865083.0,-25384459.0,9475.0,5518460.0,,61522168.0,25718219.0,2016-03-31,32869811.0,2015-04-01 00:00:00,35.0,133880472.0,175103922.0,6812026.0,19056669.0,5748215.0,736512997.0,90339.0,20109936.0,36584.0,-37658.0,19630664.0,,61488.0,6362.0,2015,2015,155473258.0,53198557.570907004,74104365.0,-0.18960538920119732,-27261341.0,-0.20362447631645636,6.0800280993493665,2.426450288872625,5.757956230440902,0.00474054516033206,0.1262639263660378,0.11210864825746164,0.8878913517425383,-943.321108958391,155473258.0,0.7645772320279611,1.8715594698925744,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,3337924.0,8286302.0,1.0,113.0,77440878.0,,33069791.0,27049496.0,2815687.0,427.0,4566420.0,0.221787,127.0,,208103.0,12036.0,,AZ,94771203.0,16183963.0,-4066716.0,5226.0,3328117.0,,33223308.0,9424108.0,2015-09-30,7020097.0,2014-10-01 00:00:00,14.0,69718780.0,43236175.0,7906463.0,6256005.0,1671037.0,349167814.0,900.0,7822448.0,18967.0,25461.0,6478870.0,,46355.0,3655.0,2014,2015,36757305.0,21019020.799761,900.0,-0.05833028059297653,-5589646.0,-0.08017417975472318,2.586948539842919,3.6738589563147728,2.286574738990778,0.000143861777604078,0.17626074599321143,0.14984836193303408,0.8501516380669659,192.4906114988368,36757305.0,1.6125103573570048,2.577452090050033,for-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,5282352.0,21452136.0,1.0,159.0,141427859.0,,60596816.0,68708719.0,4275565.0,807.9,7472174.0,0.161871,179.0,155621.0,12703.0,63875.0,,AZ,270394805.0,39106927.0,5011051.0,10949.0,5253042.0,,60893336.0,24370223.0,2016-04-30,30988888.0,2015-05-01 00:00:00,20.0,159799057.0,139835701.0,9046283.0,14963165.0,3295160.0,873705000.0,194462.0,19482656.0,42909.0,-68644.0,16446931.0,,65514.0,9103.0,2015,2015,123388770.0,43769077.480155,194462.0,0.031358451633416086,3165028.0,0.019806299607888173,2.613546465604035,4.939745835857588,2.3924793985764374,0.012996047293470332,0.13329358093123062,0.11761610863594842,0.8823838913640516,191.17512328767123,123388770.0,1.1427629414894556,2.3257464165501323,for-profit
