Hospital,Hospital type,Control type,Fiscal Year Begin Date,HVBP payment adjustment amount,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Bad Debt expense,IPPS Payment amount (unadjusted),Fiscal Year End Date,IPPS Interim payment,State,BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),"ADJUSTED SALARIES, Subtotal Salaries",Urban (1) and Rural (2) Indicator,BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),Total Days Title XVIII,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),Cost of Uncompensated Care,REIMBURSEMENT SETTLEMENT: Payment to cost ratio,Total cost of charity care,Medicaid charges,Net Revenue from Medicaid,Total Salaries,REIMBURSEMENT SETTLEMENT: Subtotal,NUMBER OF BEDS: Total Hospital,Total Charges,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),HAC reduction adjustment amount,NUMBER OF BEDS: Adults & Pediatrics,BED DAYS: Total Hospital,TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),REIMBURSEMENT SETTLEMENT: Interim payments,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Inventory (G_C1THRU4_7),Total Costs,Number of Interns & Residents,Cost To Charge Ratio,Total Liabilities,Total discharges,FTE Employees on Payroll,"Donations, Land Improvements",BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),NUMBER OF BEDS: ICU,BALANCE SHEET: Total Assets (G_C1THRU4_36),Total Inpatient Days,Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,2018-10-01 00:00:00,,-797432.0,8709657.0,,2019-09-30,,SC,344401.0,,2.0,17907124.0,1373.0,,4521668.0,,,747699.0,234123.0,22153706.0,1911461.0,25.0,77595760.0,787768.0,,19.0,9125.0,262811.0,1146804.0,41118595.0,2234053.0,11082126.0,701972.0,40791538.0,161.75,0.525693,16640784.0,465.0,,,4301085.0,6.0,35333259.0,2903.0,2018,2019,18692475.0,393060.13040699996,787768.0,-0.01939346419788906,-6000221.0,-0.1459247573999063,2.5765884654685967,4.161790338949358,2.3333072933922487,0.1831556456103518,0.8902397355085402,0.47096657571270173,0.5290334242872983,-18.467328232075523,18692475.0,1.1637362689923394,2.2962143446373635,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,2019-01-01 00:00:00,2114.0,1796757.0,5164265.0,4958955.0,2019-12-31,5108204.0,LA,526252.0,19099900.0,2.0,22749580.0,2604.0,731371.0,1684120.0,,86723.0,48820318.0,15429157.0,26428790.0,3953306.0,44.0,153246531.0,4958101.0,58800.0,38.0,16060.0,219507.0,2897590.0,52909903.0,3874343.0,19582786.0,986300.0,47302947.0,368.17,0.308672,10960226.0,1317.0,,,5147933.0,6.0,48125826.0,5349.0,2019,2019,37165600.0,15069465.197696,5689472.0,0.033958803515478,-1897650.0,-0.035865686618249897,3.8040094927420385,5.731317404480595,3.5101921489654195,0.963124617200729,0.29490243666185934,0.2277410469796404,0.7722589530203596,4.555390033119672,37165600.0,1.0994076860104178,2.325752958955726,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-01-01 00:00:00,588915.0,50563800.0,21749652.0,181729191.0,2019-12-31,169230981.0,MN,1362000.0,340713994.0,1.0,487573239.0,50164.0,,15078964.0,,9105417.0,96455651.0,20419284.0,579069446.0,47221082.0,608.0,3298391060.0,1600167.0,,545.0,221920.0,,7938370.0,1262603036.0,46542892.0,196435127.0,29976386.0,885096555.0,5579.76,0.268342,-326782463.0,34207.0,42.85,,-439563296.0,63.0,754499553.0,166470.0,2019,2019,754499553.0,25883102.300642002,1600167.0,0.040047266289006456,-179388418.0,-0.14207824065457103,inf,inf,inf,inf,0.0,0.0,1.0,,754499553.0,1.6734311252799376,2.589565905195219,non-profit
ABILENE REG MED CTR (450558),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-09-01 00:00:00,24893.0,3386811.0,23592905.0,23909356.0,2020-10-26,21356280.0,TX,1324366.0,40004725.0,1.0,32642473.0,9638.0,,6492723.0,,3876550.0,98054270.0,7349497.0,56617109.0,9946215.0,196.0,1106967606.0,79760.0,,160.0,82712.0,,9056417.0,136084555.0,10131461.0,18776629.0,3510251.0,110984461.0,475.1,0.10026,30064220.0,6168.0,,,27240468.0,36.0,93867946.0,26012.0,2019,2019,63803726.0,9830921.1102,79760.0,0.024887548774363114,-7140506.0,-0.05247109784060359,0.689291718482957,1.3255662127390764,0.51181249896294,0.0029279966849321383,0.47119850022551973,0.32028206945105625,0.6797179305489437,,63803726.0,1.4497446764202127,4.16894133603174,for-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,2019-07-01 00:00:00,172304.0,-28744233.0,32663377.0,141703912.0,2020-06-30,128891562.0,PA,,295483865.0,1.0,58005395.0,45487.0,54211569.0,20487511.0,,12031954.0,295312849.0,50565133.0,365090894.0,28824458.0,588.0,2638911475.0,352605230.0,,499.0,215208.0,10358692.0,41803643.0,721594149.0,26673831.0,490938069.0,11997184.0,670021014.0,4087.0,0.253901,949106943.0,28794.0,137.77,,191018469.0,33.0,1082045787.0,134974.0,2019,2019,132938844.0,74980227.673949,406816799.0,-0.03983434876770321,-121098820.0,-0.16782123326224477,2.570107862187923,1.9991071753381082,,1.8459221867179765,7.139425275880991,0.8771412027132638,0.12285879728673627,-7.654941087156564,132938844.0,0.6668794959228468,12.440121285270102,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,2018-10-01 00:00:00,,12965343.0,2665786.0,,2019-09-30,,IL,226070.0,,2.0,7166037.0,2651.0,7062825.0,1494123.0,,662840.0,29277560.0,2526220.0,17625087.0,2347397.0,25.0,126895235.0,21173101.0,,25.0,9125.0,1119801.0,4124278.0,56116636.0,3520982.0,34216866.0,631981.0,36475288.0,288.08,0.287444,4566975.0,759.0,,,4124345.0,,138857686.0,4691.0,2018,2019,134290711.0,8415658.95664,28235926.0,0.23104276956302228,11395557.0,0.2030691397823633,8.29631517246981,10.2072923094455,8.088269773745893,5.133688137146626,0.03400812287009189,0.03288960900587094,0.9671103909941291,13.859458064423947,134290711.0,0.4041305714974971,7.830916307018788,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-04-01 00:00:00,-164196.0,25393847.0,16389931.0,67089492.0,2020-03-31,61610975.0,AZ,716945.0,101046149.0,1.0,139953504.0,16166.0,,5933339.0,,4085749.0,515355986.0,42938003.0,101811700.0,23530546.0,262.0,2931985383.0,338926.0,,224.0,95892.0,233761.0,7765616.0,345109599.0,23395162.0,70893522.0,10320953.0,298415413.0,1180.5,0.101779,30363540.0,16457.0,10.34,,26415407.0,38.0,197490512.0,66238.0,2019,2019,167126972.0,52452416.899094,338926.0,0.0735819782283135,23682961.0,0.06862446326797186,2.6837944234590063,6.272334815814119,2.265936087980776,0.012830618131304962,0.1816794718209817,0.1537468291134918,0.8462531708865082,134.5330358785255,167126972.0,1.7474743242348776,2.4658875207583226,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-04-01 00:00:00,27606.0,-13212656.0,12026007.0,20347518.0,2020-03-31,19015820.0,AZ,339827.0,54239901.0,1.0,75263496.0,5894.0,,6632256.0,,5261494.0,457716522.0,32625531.0,56653390.0,3368867.0,140.0,1181539235.0,157794.0,,112.0,51240.0,150883.0,3636330.0,124630223.0,3462357.0,29024063.0,3538975.0,116954088.0,633.0,0.098985,20361443.0,7185.0,20.26,,14134764.0,28.0,151293492.0,31196.0,2019,2019,130932049.0,45307069.93017,157794.0,-0.1060148628635608,-14231106.0,-0.11418663673577796,2.053381506758797,4.401108783988187,1.7789657471465388,0.011163539766210458,0.15551152796822112,0.13458241151575773,0.8654175884842422,-70.21848717217976,130932049.0,0.8237646005288846,1.655918600964271,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2018-10-01 00:00:00,-6394.0,6007648.0,7974043.0,16900135.0,2019-09-30,15862406.0,AZ,296141.0,33961161.0,1.0,50646165.0,4893.0,,3120087.0,,2116959.0,189738102.0,13400246.0,34007441.0,6179315.0,120.0,846636537.0,900.0,168719.0,106.0,43800.0,230858.0,9090159.0,101924685.0,6159447.0,19648547.0,2289721.0,95888337.0,411.1,0.113258,15582860.0,5653.0,,,10690108.0,14.0,56353719.0,19065.0,2018,2019,40770859.0,21489357.956315998,900.0,0.05894203155987188,5280282.0,0.05180572301989454,1.8380120200843622,5.299732519072773,1.5961190476279565,8.41899819908274e-05,0.382205829904148,0.27651875114045266,0.7234812488595473,62.24796628230341,40770859.0,1.808659424944075,2.0124857429975203,for-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,2019-05-01 00:00:00,-26530.0,23078981.0,21670629.0,29621906.0,2020-04-30,27188297.0,AZ,-154674.0,74965126.0,1.0,135075006.0,10445.0,,8671121.0,,6564233.0,554915220.0,39234500.0,75018945.0,7288733.0,191.0,2020520215.0,237309.0,,171.0,69906.0,195557.0,7056333.0,222651545.0,7341104.0,50597359.0,4164108.0,177089574.0,878.6,0.087646,43523730.0,11966.0,3.19,,37069555.0,20.0,153105840.0,53345.0,2019,2019,109582110.0,48636099.37212,237309.0,0.10365515765902275,22230207.0,0.09984303949024921,1.3649303046664574,4.272813525816536,1.2525980147320355,0.006401722383772884,0.3971791563422168,0.284272174072524,0.7157278259274761,149.7596097301554,109582110.0,1.4542328692360789,1.648354877733635,for-profit
