Hospital,Hospital type,Control type,FTE Employees on Payroll,Number of Interns & Residents,BALANCE SHEET: Total Current Liabilities (G_C1THRU4_45),Total Liabilities,Net Revenue from Medicaid,HVBP payment adjustment amount,HAC reduction adjustment amount,BALANCE SHEET: Total Assets (G_C1THRU4_36),REIMBURSEMENT SETTLEMENT: Payment to cost ratio,REIMBURSEMENT SETTLEMENT: Subtotal,Total Costs,BALANCE SHEET: Cash on Hand and in Banks (G_C1THRU4_1),IPPS Interim payment,Total Bad Debt expense,STATEMENT OF REVENUES AND EXPENSES: Net Income (G3_C1_29),Total Salaries,Cost To Charge Ratio,Total Charges,State,REIMBURSEMENT SETTLEMENT: Interim payments,"RECONCILIATION OF CAPITAL COST CENTERS: Depreciation, Total (A7_3_C9_3)",Medicaid charges,IPPS Payment amount (unadjusted),Total Inpatient Days,BED DAYS: Total Hospital,BALANCE SHEET: Inventory (G_C1THRU4_7),BALANCE SHEET: Accounts Receivable (G_C1THRU4_4),TRIAL BALANCE OF EXPENSE ACCOUNTS: Interest Expense (A_C2_113),Total cost of charity care,Total Days Title XVIII,Urban (1) and Rural (2) Indicator,Cost of Uncompensated Care,"ADJUSTED SALARIES, Subtotal Salaries",Fiscal Year Begin Date,STATEMENT OF REVENUES AND EXPENSES: Net Patient Revenue (G3_C1_3),Total discharges,BALANCE SHEET: Temporary Investments (G_C1THRU4_2),"Donations, Land Improvements",NUMBER OF BEDS: Adults & Pediatrics,NUMBER OF BEDS: ICU,Fiscal Year End Date,NUMBER OF BEDS: Total Hospital,BALANCE SHEET: Total Current Assets (G_C1THRU4_11),BALANCE SHEET: Prepaid expenses (G_C1THRU4_8),Report_Period_Begin_Yr,Beginning FFY,Financial Indicators: Total Net Assets,S-10 DATA: Medicaid Costs,Financial Indicators: Cash Reserves,Financial Indicators: Net Profit Margin,Financial Indicators: Operating Profit,Financial Indicators: Operating Profit Margin,Financial Indicators: LIQUIDITY current ratio,Financial Indicators: LIQUIDITY acid-test ratio,Financial Indicators: LIQUIDITY acid-test ratio (variation),Financial Indicators: LIQUIDITY cash ratio,Financial Indicators: SOLVENCY Debt-to-Equity Ratio,Financial Indicators: SOLVENCY Debt Ratio,Financial Indicators: SOLVENCY Equity Ratio,Financial Indicators: SOLVENCY Interest Coverage Ratio,Financial Indicators: SOLVENCY total assets less total liabilities,Financial Indicators: EFFICIENCY asset turnover ratio,Financial Indicators: EFFICIENCY Accounts Receivable Turnover Ratio,: General Ownership Type
ABBEVILLE AREA MEDICAL CENTER (421301),General Short Term (Critical Access Hospitals),Governmental-County,,155.8,15014416.0,26760938.0,258792.0,,,42127138.0,,2460832.0,47703169.0,10433373.0,,4744487.0,-436960.0,24480265.0,0.492893,96782032.0,SC,2924350.0,1112046.0,755442.0,,3180.0,9125.0,1263353.0,17392485.0,253434.0,,1267.0,2.0,2299589.0,,2020-10-01 00:00:00,45938095.0,515.0,,,19.0,6.0,2021-09-30,25.0,21035037.0,344482.0,2020,2021,15366200.0,372352.073706,10433373.0,-0.009511931219611958,-9692441.0,-0.2109891801129324,1.4009893558297573,1.8241733811025351,1.2939032726947222,0.694890364034139,1.7415456000832996,0.6352422516810897,0.3647577483189102,-33.85652674858149,15366200.0,1.0904632306139572,2.641261153883416,govt
ABBEVILLE GENERAL HOSPITAL (190034),General Short Term (Acute Care Hospitals),Governmental-Hospital District,,379.1,8720847.0,12991530.0,19334243.0,335.0,49072.0,63249814.0,,2761141.0,54152890.0,13624236.0,5833771.0,4891162.0,9273306.0,30167856.0,0.319406,169542404.0,LA,2761065.0,3054797.0,58695649.0,5106279.0,6883.0,16060.0,1108238.0,24178843.0,223151.0,30020.0,2419.0,2.0,1594106.0,21732464.0,2021-01-01 00:00:00,59238327.0,1524.0,848493.0,,38.0,6.0,2021-12-31,44.0,29990198.0,561485.0,2021,2021,50258284.0,18747742.464494,14472729.0,0.1565423344923296,-2794148.0,-0.04716790870883305,3.438908858279477,5.582408451839598,3.24744546028614,1.562260638215531,0.25849529601925925,0.20540028781744718,0.7945997121825529,1.1680386823272133,50258284.0,0.9365770941239447,2.450006685596991,govt
ABBOTT NORTHWESTERN HOSPITAL (240057),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,49.4,5604.42,-357483924.0,-276029847.0,18281047.0,225256.0,,782049778.0,,49433440.0,1002756684.0,4951.0,149349207.0,18933300.0,-9874166.0,592723773.0,0.286649,3498205900.0,MN,49854046.0,9465693.0,100996090.0,157152575.0,164761.0,210605.0,33916993.0,527020625.0,,8672105.0,39649.0,1.0,14180329.0,368547221.0,2021-01-01 00:00:00,1255591204.0,31366.0,,,504.0,73.0,2021-12-31,577.0,227296641.0,3124226.0,2021,2021,782049778.0,28950428.202409998,4951.0,-0.007864156716408471,-244743848.0,-0.19492319412584863,inf,inf,inf,inf,0.0,0.0,1.0,,782049778.0,1.6055131518750971,2.3824327634236324,non-profit
ABINGTON MEMORIAL HOSPITAL (390231),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,167.23,3844.04,155921201.0,700970523.0,56816229.0,52058.0,,891256852.0,,32055512.0,684950618.0,138237468.0,135219819.0,7921109.0,-55601581.0,349749563.0,0.253253,2704605456.0,PA,30115071.0,47874986.0,340246295.0,146472248.0,153997.0,214620.0,10269065.0,102514929.0,98532.0,8874935.0,51687.0,1.0,10941168.0,260951921.0,2021-07-01 00:00:00,723801405.0,27755.0,57374919.0,,499.0,33.0,2022-06-30,588.0,329324844.0,1736056.0,2021,2021,190286329.0,86168394.947635,195612387.0,-0.07681883540969363,-117706939.0,-0.16262325299023148,2.1121235719573503,1.1874640190848709,2.0351287763618497,0.8865854490179306,3.6837671244369847,0.7864966439551143,0.2135033560448857,-708.7235923354849,190286329.0,0.8121131449096561,7.06044877619727,non-profit
ABRAHAM LINCOLN MEMORIAL HOSPITAL (141322),General Short Term (Critical Access Hospitals),Voluntary Nonprofit-Other,,267.86,-5461905.0,-5461905.0,9120261.0,,,183552856.0,,1867764.0,39534476.0,3279322.0,,1243744.0,36994600.0,18501391.0,0.271018,145874090.0,IL,2430261.0,3463640.0,34864745.0,,5495.0,9125.0,570045.0,12359347.0,,394125.0,2885.0,2.0,823578.0,,2020-10-01 00:00:00,61118856.0,926.0,,,25.0,,2021-09-30,25.0,13246238.0,387995.0,2020,2021,183552856.0,9448973.460409999,3279322.0,0.6052894707322402,14770412.0,0.24166702334873547,inf,inf,inf,inf,0.0,0.0,1.0,,183552856.0,0.3329768728850506,4.9451525230256905,non-profit
ABRAZO ARROWHEAD CAMPUS (030094),General Short Term (Acute Care Hospitals),Proprietary-Corporation,39.15,1122.1,42663235.0,57294412.0,45671495.0,-9790.0,,226007189.0,,26343716.0,308678775.0,361084.0,57658289.0,16764348.0,49359732.0,114450705.0,0.084646,3646684805.0,AZ,26310777.0,7537176.0,652531551.0,66815246.0,69689.0,98550.0,10068948.0,183798661.0,173155.0,3912725.0,14650.0,2.0,5514610.0,111968596.0,2021-04-01 00:00:00,404375524.0,15603.0,,,232.0,38.0,2022-03-31,270.0,85905218.0,517121.0,2021,2021,168712777.0,55234185.665946,361084.0,0.12206409406717703,55226278.0,0.13657176243931124,2.01356549731871,5.473552978343063,1.7654345480365004,0.00846358697365542,0.33959735011652376,0.2535070333537045,0.7464929666462955,362.4697756345471,168712777.0,1.7892153156243185,2.2001004893066116,for-profit
ABRAZO CENTRAL CAMPUS (030030),General Short Term (Acute Care Hospitals),Proprietary-Corporation,18.17,503.2,17733521.0,23438405.0,31733412.0,-28617.0,,154493126.0,,3026038.0,116876239.0,1400.0,14381901.0,9293826.0,-5033798.0,60271938.0,0.088169,1325595566.0,AZ,3127209.0,4258074.0,530532856.0,15669003.0,32810.0,58765.0,4653717.0,80813855.0,74166.0,4808852.0,4484.0,2.0,5768616.0,51815859.0,2021-04-01 00:00:00,132236230.0,5985.0,,,133.0,28.0,2022-03-31,161.0,31756675.0,488380.0,2021,2021,131054721.0,46776551.380664,1400.0,-0.0380667083446042,-8900919.0,-0.06731074381052757,1.7907709924047233,4.273345208771569,1.5008061850774024,7.894653295304412e-05,0.17884441568495651,0.15171163667178306,0.848288363328217,-62.60072000647197,131054721.0,0.8559360110300313,1.6363064229518565,for-profit
ABRAZO SCOTTSDALE CAMPUS (030083),General Short Term (Acute Care Hospitals),Proprietary-Corporation,,379.5,16310651.0,32657075.0,14113565.0,50149.0,,80542555.0,,11180288.0,99354611.0,397294.0,11361598.0,6011544.0,15274144.0,33286232.0,0.091253,1088783255.0,AZ,11258501.0,9174956.0,226593472.0,12612660.0,20912.0,46720.0,2437804.0,72670526.0,133076.0,2347976.0,4151.0,1.0,2984198.0,33329421.0,2020-10-01 00:00:00,122149534.0,4345.0,,,114.0,14.0,2021-09-30,128.0,26132584.0,200946.0,2020,2021,47885480.0,20677334.100416,397294.0,0.12504463586410408,10560237.0,0.08645335478725609,1.6021790914415373,5.416213246178831,1.4403983016986877,0.024357948680282595,0.6819828265269555,0.4054636086476273,0.5945363913523727,148.3001668219664,47885480.0,1.5165837984652957,1.6808676188748104,for-profit
ABRAZO WEST CAMPUS (030110),General Short Term (Acute Care Hospitals),Proprietary-Corporation,30.79,829.6,24614233.0,30815894.0,45403486.0,20954.0,,183579720.0,,8921856.0,182329827.0,266834.0,27993023.0,19401897.0,50502863.0,82800725.0,0.070246,2595589353.0,AZ,8812718.0,6528482.0,741044654.0,35311032.0,61133.0,71891.0,5102944.0,157687761.0,72131.0,5554851.0,10386.0,1.0,7095615.0,80771574.0,2021-05-01 00:00:00,285091315.0,11959.0,,,177.0,20.0,2022-04-30,197.0,60442344.0,-1334180.0,2021,2021,152763826.0,52055422.764884,266834.0,0.17714626978377085,50107882.0,0.17576081544258898,2.455585108014538,8.46898044720711,2.2482683088276607,0.010840638422493198,0.2017224548958338,0.16786110143320843,0.8321388985667916,785.1875615200122,152763826.0,1.552956475802447,1.8079482719017108,for-profit
ACADIA GENERAL HOSPITAL (190044),General Short Term (Acute Care Hospitals),Voluntary Nonprofit-Other,,232.25,13564653.0,20420670.0,6969220.0,1183.0,,28895840.0,,6800198.0,47429993.0,1950.0,8365374.0,4027781.0,1770474.0,15162949.0,0.206596,229578441.0,LA,6797050.0,2512679.0,49235190.0,7827122.0,8375.0,41245.0,1618030.0,7184601.0,,57504.0,3864.0,1.0,969391.0,15889888.0,2020-10-01 00:00:00,43531446.0,1526.0,,,109.0,4.0,2021-09-30,113.0,16338014.0,,2020,2021,8475170.0,10171793.313240001,1950.0,0.0406711506895498,-2368397.0,-0.05440657771855316,1.204454990481511,0.6603209827778123,,0.0001437559810781743,2.409470252514109,0.7066993034291441,0.2933006965708559,,8475170.0,1.5064952602173878,6.05899283759808,non-profit
